date,closing,adjusted,evolution,quantity,volume
2021-01-20,1133.0,1133.0,0.0,1.0,1133.0
2021-01-21,1133.0,1133.0,0.0,1.0,1133.0
2021-01-22,1133.0,1133.0,0.0,1.0,1133.0
2021-01-25,1133.0,1133.0,0.0,1.0,1133.0
2021-01-26,1133.0,1133.0,0.0,1.0,1133.0
2021-01-27,1154.0,1154.0,1.85,4.0,4616.0
2021-01-28,1152.0,1152.0,-0.17,1.0,1152.0
2021-01-29,1152.0,1152.0,0.0,464.0,534528.0
2021-02-02,1152.0,1152.0,0.0,1.0,1152.0
2021-02-03,1187.0,1187.0,0.0,1.0,1187.0
2021-02-04,1162.0,1162.0,0.0,1.0,1162.0
2021-02-06,1202.0,1202.0,0.17,1.0,1202.0
2021-02-07,1225.0,1225.0,0.0,1.0,1225.0
2021-02-08,1233.0,1233.0,0.65,1.0,1233.0
2021-02-09,1220.0,1220.0,0.66,1000.0,1220000.0
2021-02-11,1335.0,1335.0,-1.91,2.0,2670.0
2021-02-12,1300.0,1300.0,0.0,1.0,1300.0
2021-02-15,1171.0,1171.0,-0.09,1.0,1171.0
2021-02-16,1192.0,1192.0,1.79,1.0,1192.0
2021-02-17,1192.0,1192.0,0.0,1.0,1192.0
2021-02-18,1192.0,1192.0,0.0,1.0,1192.0
2021-02-19,1192.0,1192.0,0.0,1.0,1192.0
2021-02-22,1192.0,1192.0,0.0,1.0,1192.0
2021-02-23,1170.0,1170.0,-1.85,11.0,12874.0
2021-02-24,1172.0,1172.0,0.17,1.0,1172.0
2021-02-25,1172.0,1172.0,0.0,1.0,1172.0
2021-02-26,1187.0,1187.0,1.28,1.0,1187.0
2021-03-02,1152.0,1152.0,0.0,1.0,1152.0
2021-03-03,1187.0,1187.0,0.0,1.0,1187.0
2021-03-05,1151.0,1151.0,0.79,1.0,1151.0
2021-03-06,1212.0,1212.0,0.83,1.0,1212.0
2021-03-08,1233.0,1233.0,0.0,1.0,1233.0
2021-03-09,1220.0,1220.0,0.0,97.0,118340.0
2021-03-11,1360.0,1360.0,1.87,1.0,1360.0
2021-03-12,1300.0,1300.0,0.0,1.0,1300.0
2021-03-15,1148.0,1148.0,0.0,1.0,1148.0
2021-03-16,1148.0,1148.0,0.0,1.0,1148.0
2021-03-17,1148.0,1148.0,0.0,1.0,1148.0
2021-03-18,1148.0,1148.0,0.0,1.0,1148.0
2021-03-19,1129.0,1129.0,-1.66,8.0,9032.0
2021-03-22,1133.0,1133.0,0.35,1.0,1133.0
2021-03-23,1141.0,1141.0,0.71,1.0,1141.0
2021-03-24,1141.0,1141.0,0.0,1.0,1141.0
2021-03-25,1146.0,1146.0,0.44,1.0,1146.0
2021-03-26,1146.0,1146.0,0.0,1.0,1146.0
2021-03-29,1130.0,1130.0,-1.4,39.0,44091.0
2021-03-30,1136.0,1136.0,0.53,1.0,1136.0
2021-03-31,1141.0,1141.0,0.44,1.0,1141.0
2021-04-01,1116.0,1116.0,0.0,1.0,1116.0
2021-04-02,1152.0,1152.0,0.0,1.0,1152.0
2021-04-03,1187.0,1187.0,0.0,1.0,1187.0
2021-04-05,1163.0,1163.0,1.04,1.0,1163.0
2021-04-06,1212.0,1212.0,0.0,1.0,1212.0
2021-04-08,1233.0,1233.0,0.0,1.0,1233.0
2021-04-10,1234.0,1234.0,0.0,1.0,1234.0
2021-04-11,1360.0,1360.0,0.0,1.0,1360.0
2021-04-13,1162.0,1162.0,0.0,1.0,1162.0
2021-04-14,1162.0,1162.0,0.0,1.0,1162.0
2021-04-15,1162.0,1162.0,0.0,1.0,1162.0
2021-04-16,1162.0,1162.0,0.0,1.0,1162.0
2021-04-19,1162.0,1162.0,0.0,1.0,1162.0
2021-04-20,1162.0,1162.0,0.0,1.0,1162.0
2021-04-21,1162.0,1162.0,0.0,1.0,1162.0
2021-04-22,1162.0,1162.0,0.0,1.0,1162.0
2021-04-23,1162.0,1162.0,0.0,1.0,1162.0
2021-04-26,1162.0,1162.0,0.0,1.0,1162.0
2021-04-27,1162.0,1162.0,0.0,1.0,1162.0
2021-04-28,1162.0,1162.0,0.0,1.0,1162.0
2021-04-29,1162.0,1162.0,0.0,1.0,1162.0
2021-04-30,1142.0,1142.0,-1.72,23.0,26266.0
2021-05-01,1111.0,1111.0,-0.45,1.0,1111.0
2021-05-02,1131.0,1131.0,-1.82,1.0,1131.0
2021-05-03,1165.0,1165.0,-1.85,10.0,11650.0
2021-05-04,1162.0,1162.0,0.0,1.0,1162.0
2021-05-05,1167.0,1167.0,0.34,1.0,1167.0
2021-05-07,1225.0,1225.0,0.0,1.0,1225.0
2021-05-08,1248.0,1248.0,1.22,1.0,1248.0
2021-05-10,1236.0,1236.0,0.16,1.0,1236.0
2021-05-11,1360.0,1360.0,0.0,1.0,1360.0
2021-05-17,1200.0,1200.0,0.0,0.0,0.0
2021-05-18,1222.0,1222.0,1.83,2.0,2430.0
2021-05-19,1201.0,1201.0,-1.72,1.0,1201.0
2021-05-20,1201.0,1201.0,0.0,1.0,1201.0
2021-05-21,1201.0,1201.0,0.0,1.0,1201.0
2021-05-24,1202.0,1202.0,0.08,23.0,27646.0
2021-05-25,1202.0,1202.0,0.0,1.0,1202.0
2021-05-26,1202.0,1202.0,0.0,1.0,1202.0
2021-05-27,1202.0,1202.0,0.0,1.0,1202.0
2021-05-28,1202.0,1202.0,0.0,1.0,1202.0
2021-05-31,1202.0,1202.0,0.0,1.0,1202.0
2021-06-01,1111.0,1111.0,0.0,1.0,1111.0
2021-06-04,1162.0,1162.0,0.0,1.0,1162.0
2021-06-05,1189.0,1189.0,1.89,7.0,8323.0
2021-06-07,1225.0,1225.0,0.0,1.0,1225.0
2021-06-08,1246.0,1246.0,-0.16,1.0,1246.0
2021-06-09,1220.0,1220.0,0.0,1.0,1220.0
2021-06-10,1250.0,1250.0,1.13,1.0,1250.0
