,date,closing,adjusted,evolution,quantity,volume
121,2020-06-24,70.8,70.8,0.14,821.0,56742.6
122,2020-06-25,71.0,71.0,0.28,2216.0,156093.68
123,2020-06-26,71.0,71.0,0.0,0.0,0.0
124,2020-06-29,71.0,71.0,0.0,500.0,35497.9
125,2020-06-30,69.85,69.85,-1.62,3606.0,249552.91
126,2020-07-01,70.0,70.0,-0.14,70.0,4900.0
127,2020-07-02,80.0,80.0,1.27,5289.0,423164.85
128,2020-07-04,59.0,59.0,0.85,2422.0,141906.0
129,2020-07-05,63.74,63.74,1.34,1580.0,99052.5
130,2020-07-07,68.5,68.5,-2.13,60.0,4080.0
131,2020-07-08,72.0,72.0,2.86,305.0,21703.55
132,2020-07-09,71.5,71.5,2.14,1.0,71.5
133,2020-07-10,79.5,79.5,1.27,3171.0,249923.89
134,2020-07-12,81.25,81.25,-0.85,550.0,44612.5
135,2020-07-13,69.75,69.75,0.0,0.0,0.0
136,2020-07-14,69.0,69.0,-1.08,70.0,4830.0
137,2020-07-15,69.0,69.0,0.0,0.0,0.0
138,2020-07-16,69.0,69.0,0.0,0.0,0.0
139,2020-07-17,69.69,69.69,1.0,200.0,13921.28
140,2020-07-20,69.69,69.69,0.0,440.0,30652.84
141,2020-07-21,69.69,69.69,0.0,0.0,0.0
142,2020-07-22,69.0,69.0,-0.99,10000.0,690000.0
143,2020-07-23,69.5,69.5,0.72,1870.0,129780.27
144,2020-07-24,69.5,69.5,0.0,3994.0,275520.95
145,2020-07-27,69.0,69.0,-0.72,9946.0,686274.49
146,2020-07-28,69.79,69.79,1.14,1085.0,75539.3
147,2020-07-29,69.78,69.78,-0.01,220.0,15316.2
148,2020-08-01,71.0,71.0,1.43,30410.0,2158350.2
149,2020-08-04,60.99,60.99,3.37,70.0,4119.9
150,2020-08-05,63.9,63.9,0.25,300.0,19170.0
151,2020-08-06,71.0,71.0,0.0,1050.0,74478.5
152,2020-08-07,69.79,69.79,1.88,404.0,27943.68
153,2020-08-09,71.4,71.4,-0.14,140.0,9995.11
154,2020-08-10,80.5,80.5,1.26,10174.0,813722.25
155,2020-08-12,80.0,80.0,-1.54,1977.0,158169.1
156,2020-08-13,70.0,70.0,-1.41,1725.0,118030.15
157,2020-08-17,72.0,72.0,2.86,1300.0,92600.0
158,2020-08-18,72.0,72.0,0.0,1586.0,113986.8
159,2020-08-19,71.0,71.0,-1.39,5495.0,390361.9
160,2020-08-24,72.99,72.99,2.8,209.0,15146.56
161,2020-08-25,72.5,72.5,-0.67,397.0,28659.93
162,2020-08-26,73.4,73.4,1.24,15.0,1096.6
163,2020-08-27,72.39,72.39,-1.38,100.0,7239.0
164,2020-08-28,72.5,72.5,0.15,919.0,66325.75
165,2020-08-31,72.5,72.5,0.0,306.0,22158.4
